"Prihodi in prenoèitve domaèih in tujih turistov, obèine, Slovenija, letno"

"OBÈINE","DRŽAVE","Prenoèitve turistov 2018"
"Ajdovšèina","Države - Skupaj",28710
"Ankaran/Ancarano","Države - Skupaj",323355
"Apaèe","Države - Skupaj",1296
"Beltinci","Države - Skupaj",491
"Benedikt","Države - Skupaj",2403
"Bistrica ob Sotli","Države - Skupaj",219
"Bled","Države - Skupaj",1151831
"Bloke","Države - Skupaj",4828
"Bohinj","Države - Skupaj",677695
"Borovnica","Države - Skupaj",708
"Bovec","Države - Skupaj",462077
"Braslovèe","Države - Skupaj",1018
"Brda","Države - Skupaj",45412
"Brezovica","Države - Skupaj",5493
"Brežice","Države - Skupaj",680003
"Cankova","Države - Skupaj",2256
"Celje","Države - Skupaj",64096
"Cerklje na Gorenjskem","Države - Skupaj",87853
"Cerknica","Države - Skupaj",25037
"Cerkno","Države - Skupaj",57172
"Cerkvenjak","Države - Skupaj",1345
"Cirkulane","Države - Skupaj",614
"Èrenšovci","Države - Skupaj",-
"Èrna na Koroškem","Države - Skupaj",1680
"Èrnomelj","Države - Skupaj",48869
"Destrnik","Države - Skupaj",1013
"Divaèa","Države - Skupaj",26339
"Dobje","Države - Skupaj",z
"Dobrepolje","Države - Skupaj",-
"Dobrna","Države - Skupaj",109101
"Dobrova - Polhov Gradec","Države - Skupaj",2447
"Dobrovnik/Dobronak","Države - Skupaj",1191
"Dol pri Ljubljani","Države - Skupaj",3206
"Dolenjske Toplice","Države - Skupaj",138609
"Domžale","Države - Skupaj",40816
"Dornava","Države - Skupaj",z
"Dravograd","Države - Skupaj",17704
"Duplek","Države - Skupaj",-
"Gorenja vas - Poljane","Države - Skupaj",14528
"Gorišnica","Države - Skupaj",z
"Gorje","Države - Skupaj",37377
"Gornja Radgona","Države - Skupaj",2146
"Gornji Grad","Države - Skupaj",2894
"Gornji Petrovci","Države - Skupaj",357
"Grad","Države - Skupaj",z
"Grosuplje","Države - Skupaj",19345
"Hajdina","Države - Skupaj",10034
"Hoèe - Slivnica","Države - Skupaj",85371
"Hodoš/Hodos","Države - Skupaj",z
"Horjul","Države - Skupaj",z
"Hrastnik","Države - Skupaj",1180
"Hrpelje - Kozina","Države - Skupaj",35613
"Idrija","Države - Skupaj",23858
"Ig","Države - Skupaj",3517
"Ilirska Bistrica","Države - Skupaj",18143
"Ivanèna Gorica","Države - Skupaj",7230
"Izola/Isola","Države - Skupaj",522290
"Jesenice","Države - Skupaj",39623
"Jezersko","Države - Skupaj",21400
"Juršinci","Države - Skupaj",z
"Kamnik","Države - Skupaj",100879
"Kanal","Države - Skupaj",7809
"Kidrièevo","Države - Skupaj",z
"Kobarid","Države - Skupaj",186187
"Kobilje","Države - Skupaj",-
"Koèevje","Države - Skupaj",28907
"Komen","Države - Skupaj",10968
"Komenda","Države - Skupaj",2812
"Koper/Capodistria","Države - Skupaj",283217
"Kostanjevica na Krki","Države - Skupaj",3551
"Kostel","Države - Skupaj",11798
"Kozje","Države - Skupaj",922
"Kranj","Države - Skupaj",128510
"Kranjska Gora","Države - Skupaj",828763
"Križevci","Države - Skupaj",1813
"Krško","Države - Skupaj",24392
"Kungota","Države - Skupaj",12824
"Kuzma","Države - Skupaj",-
"Laško","Države - Skupaj",289797
"Lenart","Države - Skupaj",z
"Lendava/Lendva","Države - Skupaj",124081
"Litija","Države - Skupaj",3480
"Ljubljana","Države - Skupaj",2179916
"Ljubno","Države - Skupaj",19145
"Ljutomer","Države - Skupaj",64422
"Log - Dragomer","Države - Skupaj",z
"Logatec","Države - Skupaj",22119
"Loška dolina","Države - Skupaj",3631
"Loški Potok","Države - Skupaj",2854
"Lovrenc na Pohorju","Države - Skupaj",1045
"Luèe","Države - Skupaj",17224
"Lukovica","Države - Skupaj",5159
"Majšperk","Države - Skupaj",z
"Makole","Države - Skupaj",z
"Maribor","Države - Skupaj",466620
"Markovci","Države - Skupaj",-
"Medvode","Države - Skupaj",35802
"Mengeš","Države - Skupaj",4296
"Metlika","Države - Skupaj",38607
"0 Mežica","Države - Skupaj",9598
"Miklavž na Dravskem polju","Države - Skupaj",1458
"Miren - Kostanjevica","Države - Skupaj",6911
"Mirna","Države - Skupaj",z
"Mirna Peè","Države - Skupaj",2088
"Mislinja","Države - Skupaj",18878
"Mokronog - Trebelno","Države - Skupaj",1095
"Moravèe","Države - Skupaj",z
"Moravske Toplice","Države - Skupaj",559169
"Mozirje","Države - Skupaj",32316
"Murska Sobota","Države - Skupaj",50682
"Muta","Države - Skupaj",z
"Naklo","Države - Skupaj",28138
"Nazarje","Države - Skupaj",6030
"Nova Gorica","Države - Skupaj",214181
"Novo mesto","Države - Skupaj",117425
"Odranci","Države - Skupaj",z
"Oplotnica","Države - Skupaj",z
"Ormož","Države - Skupaj",8744
"Osilnica","Države - Skupaj",z
"Pesnica","Države - Skupaj",3896
"Piran/Pirano","Države - Skupaj",1882383
"Pivka","Države - Skupaj",10538
"Podèetrtek","Države - Skupaj",391859
"Podlehnik","Države - Skupaj",z
"Podvelka","Države - Skupaj",z
"Poljèane","Države - Skupaj",z
"Polzela","Države - Skupaj",49
"Postojna","Države - Skupaj",164425
"Prebold","Države - Skupaj",9329
"Preddvor","Države - Skupaj",19915
"Prevalje","Države - Skupaj",8527
"Ptuj","Države - Skupaj",146677
"Puconci","Države - Skupaj",2504
"Raèe - Fram","Države - Skupaj",1054
"Radeèe","Države - Skupaj",1611
"Radenci","Države - Skupaj",140817
"Radlje ob Dravi","Države - Skupaj",4297
"Radovljica","Države - Skupaj",280103
"Ravne na Koroškem","Države - Skupaj",9324
"Razkrižje","Države - Skupaj",z
"Reèica ob Savinji","Države - Skupaj",73542
"Renèe - Vogrsko","Države - Skupaj",20440
"Ribnica","Države - Skupaj",5279
"Ribnica na Pohorju","Države - Skupaj",21517
"Rogaška Slatina","Države - Skupaj",295474
"Rogašovci","Države - Skupaj",2997
"Rogatec","Države - Skupaj",3848
"Ruše","Države - Skupaj",13680
"Selnica ob Dravi","Države - Skupaj",10150
"Semiè","Države - Skupaj",12329
"Sevnica","Države - Skupaj",6503
"Sežana","Države - Skupaj",100560
"Slovenj Gradec","Države - Skupaj",26039
"Slovenska Bistrica","Države - Skupaj",50491
"Slovenske Konjice","Države - Skupaj",7528
"Sodražica","Države - Skupaj",z
"Solèava","Države - Skupaj",34776
"Središèe ob Dravi","Države - Skupaj",-
"Starše","Države - Skupaj",z
"Straža","Države - Skupaj",4008
"Sveta Ana","Države - Skupaj",z
"Sveta Trojica v Slov. goricah","Države - Skupaj",351
"Sveti Andraž v Slov. goricah","Države - Skupaj",117
"Sveti Jurij ob Šèavnici","Države - Skupaj",z
"Sveti Jurij v Slov. goricah","Države - Skupaj",z
"Sveti Tomaž","Države - Skupaj",-
"Šalovci","Države - Skupaj",1320
"Šempeter - Vrtojba","Države - Skupaj",15483
"Šenèur","Države - Skupaj",21083
"Šentilj","Države - Skupaj",16470
"Šentjernej","Države - Skupaj",1636
"Šentjur","Države - Skupaj",1155
"Šentrupert","Države - Skupaj",1079
"Škocjan","Države - Skupaj",9235
"Škofja Loka","Države - Skupaj",31111
"Škofljica","Države - Skupaj",2525
"Šmarje pri Jelšah","Države - Skupaj",2025
"Šmarješke Toplice","Države - Skupaj",103105
"Šmartno ob Paki","Države - Skupaj",z
"Šmartno pri Litiji","Države - Skupaj",z
"Šoštanj","Države - Skupaj",118251
"Štore","Države - Skupaj",1285
"Tabor","Države - Skupaj",z
"Tišina","Države - Skupaj",-
"Tolmin","Države - Skupaj",157852
"Trbovlje","Države - Skupaj",4425
"Trebnje","Države - Skupaj",20422
"Trnovska vas","Države - Skupaj",-
"Trzin","Države - Skupaj",1799
"Tržiè","Države - Skupaj",16440
"Turnišèe","Države - Skupaj",-
"Velenje","Države - Skupaj",34310
"Velika Polana","Države - Skupaj",-
"Velike Lašèe","Države - Skupaj",776
"Veržej","Države - Skupaj",114728
"Videm","Države - Skupaj",8982
"Vipava","Države - Skupaj",16448
"Vitanje","Države - Skupaj",2990
"Vodice","Države - Skupaj",2449
"Vojnik","Države - Skupaj",5482
"Vransko","Države - Skupaj",4057
"Vrhnika","Države - Skupaj",21995
"Vuzenica","Države - Skupaj",570
"Zagorje ob Savi","Države - Skupaj",4537
"Zavrè","Države - Skupaj",z
"Zreèe","Države - Skupaj",274228
"Žalec","Države - Skupaj",13574
"Železniki","Države - Skupaj",11783
"Žetale","Države - Skupaj",z
"Žiri","Države - Skupaj",1661
"Žirovnica","Države - Skupaj",16091
"Žužemberk","Države - Skupaj",7835
